Indicator,Country,Year,Value
"Rate of out-of-school children of primary school age, male (%)",Botswana,2000,17.50038
"Rate of out-of-school children of primary school age, male (%)",Botswana,2001,15.86476
"Rate of out-of-school children of primary school age, male (%)",Botswana,2002,15.49199
"Rate of out-of-school children of primary school age, male (%)",Botswana,2003,15.59074
"Rate of out-of-school children of primary school age, male (%)",Botswana,2004,13.26355
"Rate of out-of-school children of primary school age, male (%)",Botswana,2005,15.53949
"Rate of out-of-school children of primary school age, male (%)",Botswana,2006,13.92576
"Rate of out-of-school children of primary school age, male (%)",Botswana,2007,14.63945
"Rate of out-of-school children of primary school age, male (%)",Botswana,2008,15.10108
"Rate of out-of-school children of primary school age, male (%)",Botswana,2009,14.00907
"Rate of out-of-school children of primary school age, male (%)",Botswana,2012,7.80543
"Rate of out-of-school children of primary school age, male (%)",Botswana,2013,6.94048
"Rate of out-of-school children of primary school age, male (%)",Botswana,2014,10.85667
"Rate of out-of-school children of primary school age, male (%)",Kenya,2000,35.54311
"Rate of out-of-school children of primary school age, male (%)",Kenya,2001,34.20832
"Rate of out-of-school children of primary school age, male (%)",Kenya,2002,39.07358
"Rate of out-of-school children of primary school age, male (%)",Kenya,2003,27.45685
"Rate of out-of-school children of primary school age, male (%)",Kenya,2004,29.1931
"Rate of out-of-school children of primary school age, male (%)",Kenya,2005,28.55358
"Rate of out-of-school children of primary school age, male (%)",Kenya,2006,29.74303
"Rate of out-of-school children of primary school age, male (%)",Kenya,2007,19.04858
"Rate of out-of-school children of primary school age, male (%)",Kenya,2008,23.31837
"Rate of out-of-school children of primary school age, male (%)",Kenya,2009,21.68916
"Rate of out-of-school children of primary school age, male (%)",Kenya,2012,18.67826
"Rate of out-of-school children of primary school age, male (%)",Senegal,2000,38.2049
"Rate of out-of-school children of primary school age, male (%)",Senegal,2003,32.41449
"Rate of out-of-school children of primary school age, male (%)",Senegal,2004,35.93889
"Rate of out-of-school children of primary school age, male (%)",Senegal,2005,35.20809
"Rate of out-of-school children of primary school age, male (%)",Senegal,2006,33.28853
"Rate of out-of-school children of primary school age, male (%)",Senegal,2007,31.21699
"Rate of out-of-school children of primary school age, male (%)",Senegal,2008,31.06681
"Rate of out-of-school children of primary school age, male (%)",Senegal,2009,31.15689
"Rate of out-of-school children of primary school age, male (%)",Senegal,2010,30.69164
"Rate of out-of-school children of primary school age, male (%)",Senegal,2011,30.50481
"Rate of out-of-school children of primary school age, male (%)",Senegal,2012,28.11659
"Rate of out-of-school children of primary school age, male (%)",Senegal,2013,29.32963
"Rate of out-of-school children of primary school age, male (%)",Senegal,2014,28.83202
"Rate of out-of-school children of primary school age, male (%)",Senegal,2015,29.20451
"Rate of out-of-school children of primary school age, male (%)",Senegal,2016,31.22618
"Rate of out-of-school children of primary school age, male (%)",Ghana,2000,33.30365
"Rate of out-of-school children of primary school age, male (%)",Ghana,2001,39.14801
"Rate of out-of-school children of primary school age, male (%)",Ghana,2002,36.85251
"Rate of out-of-school children of primary school age, male (%)",Ghana,2003,38.61613
"Rate of out-of-school children of primary school age, male (%)",Ghana,2005,34.42796
"Rate of out-of-school children of primary school age, male (%)",Ghana,2006,36.05238
"Rate of out-of-school children of primary school age, male (%)",Ghana,2007,30.24502
"Rate of out-of-school children of primary school age, male (%)",Ghana,2008,25.23742
"Rate of out-of-school children of primary school age, male (%)",Ghana,2009,26.29957
"Rate of out-of-school children of primary school age, male (%)",Ghana,2011,18.15393
"Rate of out-of-school children of primary school age, male (%)",Ghana,2013,14.29037
"Rate of out-of-school children of primary school age, male (%)",Ghana,2014,11.79263
"Rate of out-of-school children of primary school age, male (%)",Ghana,2015,10.12587
"Rate of out-of-school children of primary school age, male (%)",Ghana,2016,14.11596
"Rate of out-of-school children of primary school age, male (%)",Liberia,2006,64.86748
"Rate of out-of-school children of primary school age, male (%)",Liberia,2008,55.96751
"Rate of out-of-school children of primary school age, male (%)",Liberia,2009,58.15914
"Rate of out-of-school children of primary school age, male (%)",Liberia,2011,57.88627
"Rate of out-of-school children of primary school age, male (%)",Liberia,2014,60.80928
"Rate of out-of-school children of primary school age, male (%)",Liberia,2015,61.03746
"Rate of out-of-school children of primary school age, male (%)",Zimbabwe,2000,13.28986
"Rate of out-of-school children of primary school age, male (%)",Zimbabwe,2001,11.5999
"Rate of out-of-school children of primary school age, male (%)",Zimbabwe,2002,15.14453
"Rate of out-of-school children of primary school age, male (%)",Zimbabwe,2003,16.76471
"Rate of out-of-school children of primary school age, male (%)",Zimbabwe,2012,12.85316
"Rate of out-of-school children of primary school age, male (%)",Zimbabwe,2013,15.54277
"Rate of out-of-school children of primary school age, male (%)",Mali,2002,41.91413
"Rate of out-of-school children of primary school age, male (%)",Mali,2003,41.90845
"Rate of out-of-school children of primary school age, male (%)",Mali,2004,44.10296
"Rate of out-of-school children of primary school age, male (%)",Mali,2005,37.06341
"Rate of out-of-school children of primary school age, male (%)",Mali,2006,36.18625
"Rate of out-of-school children of primary school age, male (%)",Mali,2007,34.22168
"Rate of out-of-school children of primary school age, male (%)",Mali,2009,27.05856
"Rate of out-of-school children of primary school age, male (%)",Mali,2010,26.39695
"Rate of out-of-school children of primary school age, male (%)",Mali,2011,25.80667
"Rate of out-of-school children of primary school age, male (%)",Mali,2012,28.40849
"Rate of out-of-school children of primary school age, male (%)",Mali,2014,32.78016
"Rate of out-of-school children of primary school age, male (%)",Mali,2015,35.72382
"Rate of out-of-school children of primary school age, male (%)",Mali,2016,33.86783
"Rate of out-of-school children of primary school age, male (%)",Morocco,2000,19.49123
"Rate of out-of-school children of primary school age, male (%)",Morocco,2001,16.55229
"Rate of out-of-school children of primary school age, male (%)",Morocco,2002,12.89905
"Rate of out-of-school children of primary school age, male (%)",Morocco,2003,11.97318
"Rate of out-of-school children of primary school age, male (%)",Morocco,2004,12.24335
"Rate of out-of-school children of primary school age, male (%)",Morocco,2005,11.15305
"Rate of out-of-school children of primary school age, male (%)",Morocco,2006,9.83665
"Rate of out-of-school children of primary school age, male (%)",Morocco,2007,8.75844
"Rate of out-of-school children of primary school age, male (%)",Morocco,2008,8.40828
"Rate of out-of-school children of primary school age, male (%)",Morocco,2009,9.38123
"Rate of out-of-school children of primary school age, male (%)",Morocco,2010,6.81818
"Rate of out-of-school children of primary school age, male (%)",Morocco,2011,6.22667
"Rate of out-of-school children of primary school age, male (%)",Morocco,2012,7.04568
"Rate of out-of-school children of primary school age, male (%)",Morocco,2013,5.78948
"Rate of out-of-school children of primary school age, male (%)",Morocco,2014,6.37395
"Rate of out-of-school children of primary school age, male (%)",Morocco,2016,5.26262
"Rate of out-of-school children of primary school age, male (%)",Sierra Leone,2012,6.13035
"Rate of out-of-school children of primary school age, male (%)",Sierra Leone,2013,1.19776
"Rate of out-of-school children of primary school age, male (%)",Sierra Leone,2015,4.90225
"Rate of out-of-school children of primary school age, male (%)",Sierra Leone,2016,1.10619
"Rate of out-of-school children of primary school age, male (%)",Gambia,2000,23.84807
"Rate of out-of-school children of primary school age, male (%)",Gambia,2001,24.23212
"Rate of out-of-school children of primary school age, male (%)",Gambia,2002,26.39121
"Rate of out-of-school children of primary school age, male (%)",Gambia,2003,24.85102
"Rate of out-of-school children of primary school age, male (%)",Gambia,2004,26.07525
"Rate of out-of-school children of primary school age, male (%)",Gambia,2005,29.6245
"Rate of out-of-school children of primary school age, male (%)",Gambia,2006,25.30008
"Rate of out-of-school children of primary school age, male (%)",Gambia,2007,25.87548
"Rate of out-of-school children of primary school age, male (%)",Gambia,2008,30.70256
"Rate of out-of-school children of primary school age, male (%)",Gambia,2010,31.3326
"Rate of out-of-school children of primary school age, male (%)",Gambia,2011,31.98228
"Rate of out-of-school children of primary school age, male (%)",Gambia,2012,30.13956
"Rate of out-of-school children of primary school age, male (%)",Gambia,2013,34.0475
"Rate of out-of-school children of primary school age, male (%)",Gambia,2014,31.90363
"Rate of out-of-school children of primary school age, male (%)",Gambia,2015,29.21419
"Rate of out-of-school children of primary school age, male (%)",Gambia,2016,27.54672
"Rate of out-of-school children of primary school age, male (%)",Malawi,2004,4.49636
"Rate of out-of-school children of primary school age, male (%)",Malawi,2005,4.99516
"Rate of out-of-school children of primary school age, male (%)",Malawi,2006,6.98851
"Rate of out-of-school children of primary school age, male (%)",Malawi,2007,11.85789
"Rate of out-of-school children of primary school age, male (%)",Malawi,2008,5.30118
"Rate of out-of-school children of primary school age, male (%)",Malawi,2009,5.02896
