Indicator,Country,Year,Value
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Comoros,2013,26.16038
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Comoros,2014,26.66227
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Niger,2001,90.88143
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Niger,2002,90.50795
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Niger,2003,90.52745
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Niger,2004,89.45308
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Niger,2005,85.82744
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Niger,2007,83.12401
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Niger,2008,83.9604
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Niger,2009,84.21799
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Niger,2010,82.11278
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Niger,2011,82.46592
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Niger,2014,75.15498
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Niger,2015,73.42804
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Niger,2016,70.1254
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Botswana,2000,5.42779
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Botswana,2002,2.63021
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Botswana,2003,0.91328
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ghana,2000,39.24662
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ghana,2001,39.62091
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ghana,2002,35.24817
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ghana,2003,34.90421
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ghana,2005,23.71503
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ghana,2006,16.31413
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ghana,2007,20.07713
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ghana,2008,18.23821
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ghana,2009,18.94264
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ghana,2013,14.26127
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ghana,2014,14.28583
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ghana,2015,8.62783
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Ghana,2016,10.65016
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Kenya,2000,11.17227
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Kenya,2002,12.67512
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Kenya,2003,5.85167
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Kenya,2006,3.56473
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Malawi,2002,23.44225
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Malawi,2004,28.92176
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Malawi,2005,36.99356
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Malawi,2006,33.59532
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Malawi,2007,27.3728
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Malawi,2008,23.61193
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Malawi,2009,25.25506
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Malawi,2013,22.83632
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Malawi,2014,23.39838
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Malawi,2015,23.35487
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Malawi,2016,24.55791
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Cape Verde,2002,2.64418
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Cape Verde,2003,4.49432
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Cape Verde,2004,6.13319
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Cape Verde,2005,2.53233
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Cape Verde,2006,3.23718
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Cape Verde,2007,4.49167
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Cape Verde,2009,7.45761
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Cape Verde,2012,15.34878
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Cape Verde,2013,16.07941
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Cape Verde,2014,17.85463
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Cape Verde,2015,19.68142
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Cape Verde,2016,19.62044
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Namibia,2000,12.27437
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Namibia,2001,13.69976
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Namibia,2002,5.45141
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Namibia,2003,13.41294
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Namibia,2004,9.06332
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Namibia,2005,7.60284
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Namibia,2006,5.81865
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Namibia,2007,3.74962
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Sao Tome and Principe,2003,38.07081
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Sao Tome and Principe,2004,30.32108
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Sao Tome and Principe,2005,15.39879
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Sao Tome and Principe,2007,13.44717
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Sao Tome and Principe,2008,13.71038
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Sao Tome and Principe,2009,15.10914
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Sao Tome and Principe,2010,16.3164
"Rate of out-of-school adolescents of lower secondary school age, female (%)",Sao Tome and Principe,2013,10.2259
