Indicator,Country,Year,Value
"Out-of-school children of primary school age, both sexes (number)",Central African Republic,2005,336071
"Out-of-school children of primary school age, both sexes (number)",Central African Republic,2006,339200
"Out-of-school children of primary school age, both sexes (number)",Central African Republic,2007,293663
"Out-of-school children of primary school age, both sexes (number)",Central African Republic,2008,239826
"Out-of-school children of primary school age, both sexes (number)",Central African Republic,2009,242852
"Out-of-school children of primary school age, both sexes (number)",Central African Republic,2010,230870
"Out-of-school children of primary school age, both sexes (number)",Central African Republic,2011,247359
"Out-of-school children of primary school age, both sexes (number)",Central African Republic,2012,232452
"Out-of-school children of primary school age, male (number)",Central African Republic,2005,142507
"Out-of-school children of primary school age, male (number)",Central African Republic,2006,142632
"Out-of-school children of primary school age, male (number)",Central African Republic,2007,114404
"Out-of-school children of primary school age, male (number)",Central African Republic,2008,85446
"Out-of-school children of primary school age, male (number)",Central African Republic,2009,85734
"Out-of-school children of primary school age, male (number)",Central African Republic,2010,79513
"Out-of-school children of primary school age, male (number)",Central African Republic,2011,90325
"Out-of-school children of primary school age, male (number)",Central African Republic,2012,85211
"Out-of-school children of primary school age, female (number)",Central African Republic,2005,193564
"Out-of-school children of primary school age, female (number)",Central African Republic,2006,196568
"Out-of-school children of primary school age, female (number)",Central African Republic,2007,179259
"Out-of-school children of primary school age, female (number)",Central African Republic,2008,154380
"Out-of-school children of primary school age, female (number)",Central African Republic,2009,157118
"Out-of-school children of primary school age, female (number)",Central African Republic,2010,151357
"Out-of-school children of primary school age, female (number)",Central African Republic,2011,157034
"Out-of-school children of primary school age, female (number)",Central African Republic,2012,147241
"Out-of-school children of primary school age, both sexes (number)",Sub-Saharan Africa,2000,41331032
"Out-of-school children of primary school age, both sexes (number)",Sub-Saharan Africa,2001,40223195
"Out-of-school children of primary school age, both sexes (number)",Sub-Saharan Africa,2002,39404584
"Out-of-school children of primary school age, both sexes (number)",Sub-Saharan Africa,2003,37705407
"Out-of-school children of primary school age, both sexes (number)",Sub-Saharan Africa,2004,36756960
"Out-of-school children of primary school age, both sexes (number)",Sub-Saharan Africa,2005,35200665
"Out-of-school children of primary school age, both sexes (number)",Sub-Saharan Africa,2006,34454737
"Out-of-school children of primary school age, both sexes (number)",Sub-Saharan Africa,2007,32254241
"Out-of-school children of primary school age, both sexes (number)",Sub-Saharan Africa,2008,32150128
"Out-of-school children of primary school age, both sexes (number)",Sub-Saharan Africa,2009,32392121
"Out-of-school children of primary school age, both sexes (number)",Sub-Saharan Africa,2010,33413465
"Out-of-school children of primary school age, both sexes (number)",Sub-Saharan Africa,2011,31950513
"Out-of-school children of primary school age, both sexes (number)",Sub-Saharan Africa,2012,31857349
"Out-of-school children of primary school age, both sexes (number)",Sub-Saharan Africa,2013,31751344
"Out-of-school children of primary school age, both sexes (number)",Sub-Saharan Africa,2014,32088719
"Out-of-school children of primary school age, both sexes (number)",Sub-Saharan Africa,2015,32905389
"Out-of-school children of primary school age, both sexes (number)",Sub-Saharan Africa,2016,33418387
"Out-of-school children of primary school age, male (number)",Sub-Saharan Africa,2000,18901607
"Out-of-school children of primary school age, male (number)",Sub-Saharan Africa,2001,18369225
"Out-of-school children of primary school age, male (number)",Sub-Saharan Africa,2002,17915907
"Out-of-school children of primary school age, male (number)",Sub-Saharan Africa,2003,17075831
