"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","CAF","Central African Republic","2005","2005",57.59616,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","CAF","Central African Republic","2006","2006",57.95047,"‡","UIS Estimation"
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","CAF","Central African Republic","2007","2007",61.04242,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","CAF","Central African Republic","2008","2008",64.37167,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","CAF","Central African Republic","2009","2009",64.69702,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","CAF","Central African Republic","2010","2010",65.55941,"‡","UIS Estimation"
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","CAF","Central African Republic","2011","2011",63.48425,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","CAF","Central African Republic","2012","2012",63.34254,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","CAF","Central African Republic","2005","2005",336071,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","CAF","Central African Republic","2006","2006",339200,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","CAF","Central African Republic","2007","2007",293663,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","CAF","Central African Republic","2008","2008",239826,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","CAF","Central African Republic","2009","2009",242852,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","CAF","Central African Republic","2010","2010",230870,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","CAF","Central African Republic","2011","2011",247359,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","CAF","Central African Republic","2012","2012",232452,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","CAF","Central African Republic","2005","2005",142507,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","CAF","Central African Republic","2006","2006",142632,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","CAF","Central African Republic","2007","2007",114404,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","CAF","Central African Republic","2008","2008",85446,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","CAF","Central African Republic","2009","2009",85734,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","CAF","Central African Republic","2010","2010",79513,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","CAF","Central African Republic","2011","2011",90325,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","CAF","Central African Republic","2012","2012",85211,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","CAF","Central African Republic","2005","2005",193564,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","CAF","Central African Republic","2006","2006",196568,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","CAF","Central African Republic","2007","2007",179259,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","CAF","Central African Republic","2008","2008",154380,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","CAF","Central African Republic","2009","2009",157118,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","CAF","Central African Republic","2010","2010",151357,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","CAF","Central African Republic","2011","2011",157034,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","CAF","Central African Republic","2012","2012",147241,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2000","2000",41331032,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2001","2001",40223195,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2002","2002",39404584,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2003","2003",37705407,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2004","2004",36756960,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2005","2005",35200665,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2006","2006",34454737,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2007","2007",32254241,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2008","2008",32150128,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2009","2009",32392121,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2010","2010",33413465,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2011","2011",31950513,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2012","2012",31857349,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2013","2013",31751344,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2014","2014",32088719,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2015","2015",32905389,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2016","2016",33418387,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2000","2000",18901607,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2001","2001",18369225,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2002","2002",17915907,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2003","2003",17075831,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2004","2004",16709088,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2005","2005",15928115,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2006","2006",15705620,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2007","2007",14132077,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2008","2008",14271000,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2009","2009",14490280,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2010","2010",15003365,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2011","2011",14204554,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2012","2012",14192082,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2013","2013",14059401,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2014","2014",14236620,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2015","2015",14595740,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2016","2016",14810161,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2000","2000",22429425,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2001","2001",21853971,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2002","2002",21488677,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2003","2003",20629576,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2004","2004",20047873,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2005","2005",19272550,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2006","2006",18749118,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2007","2007",18122165,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2008","2008",17879128,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2009","2009",17901841,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2010","2010",18410100,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2011","2011",17745959,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2012","2012",17665268,"‡","UIS Estimation"
