"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","CAF","Central African Republic","2005","2005",336071,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","CAF","Central African Republic","2006","2006",339200,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","CAF","Central African Republic","2007","2007",293663,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","CAF","Central African Republic","2008","2008",239826,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","CAF","Central African Republic","2009","2009",242852,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","CAF","Central African Republic","2010","2010",230870,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","CAF","Central African Republic","2011","2011",247359,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","CAF","Central African Republic","2012","2012",232452,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","CAF","Central African Republic","2005","2005",142507,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","CAF","Central African Republic","2006","2006",142632,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","CAF","Central African Republic","2007","2007",114404,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","CAF","Central African Republic","2008","2008",85446,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","CAF","Central African Republic","2009","2009",85734,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","CAF","Central African Republic","2010","2010",79513,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","CAF","Central African Republic","2011","2011",90325,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","CAF","Central African Republic","2012","2012",85211,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","CAF","Central African Republic","2005","2005",193564,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","CAF","Central African Republic","2006","2006",196568,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","CAF","Central African Republic","2007","2007",179259,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","CAF","Central African Republic","2008","2008",154380,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","CAF","Central African Republic","2009","2009",157118,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","CAF","Central African Republic","2010","2010",151357,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","CAF","Central African Republic","2011","2011",157034,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","CAF","Central African Republic","2012","2012",147241,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2000","2000",41331032,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2001","2001",40223195,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2002","2002",39404584,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","40540","Sub-Saharan Africa","2003","2003",37705407,"‡","UIS Estimation"
