Indicator,Region,Year,Value
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Central African Republic,2009,485952
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Central African Republic,2011,475765
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Central African Republic,2012,481382
"Out-of-school adolescents and youth of secondary school age, male (number)",Central African Republic,2009,216885
"Out-of-school adolescents and youth of secondary school age, male (number)",Central African Republic,2011,205554
"Out-of-school adolescents and youth of secondary school age, male (number)",Central African Republic,2012,206961
"Out-of-school adolescents and youth of secondary school age, female (number)",Central African Republic,2009,269067
"Out-of-school adolescents and youth of secondary school age, female (number)",Central African Republic,2011,270211
"Out-of-school adolescents and youth of secondary school age, female (number)",Central African Republic,2012,274421
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Sub-Saharan Africa,2000,49996728
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Sub-Saharan Africa,2001,50630827
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Sub-Saharan Africa,2002,50411707
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Sub-Saharan Africa,2003,50842748
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Sub-Saharan Africa,2004,50949588
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Sub-Saharan Africa,2005,51227200
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Sub-Saharan Africa,2006,51568738
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Sub-Saharan Africa,2007,52553657
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Sub-Saharan Africa,2008,51989568
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Sub-Saharan Africa,2009,52186880
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Sub-Saharan Africa,2010,51933315
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Sub-Saharan Africa,2011,53127984
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Sub-Saharan Africa,2012,54555874
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Sub-Saharan Africa,2013,55981621
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Sub-Saharan Africa,2014,57875789
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Sub-Saharan Africa,2015,59433959
