Country_Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,98.96515656,98.94402313,98.91053772,98.87077332,98.83078766,98.79664612,98.77441406,98.7701416,99.3,98.82767487,98.88497162,98.95729828,98.76466047,99.13498688,99.23434448,99.33670807,99.43956757
Angola,22.84335518,20,24.93909454,25.97450829,27.00970078,28.05073547,29.10367584,37.5,31.268013,32.38246918,33.5149498,34.6,35.82196426,36.99048996,32,42,40.52060699
Benin,20.66779709,21.9,23.14573288,24.37224388,25.59853554,26.8306675,27.9,29.33671188,30.62123871,31.92679214,34.2,36.9,38.4,37.29920578,34.1,40.03347778,41.40261459
Botswana,27.30547333,24.8,31.36442184,33.38143921,35.39823532,37.42087555,39.45542145,41.50793457,43.1,45.67902756,47.79311371,53.24,52.06333923,54.21347046,56.36960983,58.52875137,60.68839645
Burkina Faso,9.222010612,9.792644501,10.35093212,11.4,11.45471954,12.01234436,12.5818758,13.16937447,13.77939415,14.4104414,13.1,15.72360229,16.39970779,17.08482742,19.2,18.47008133,19.16471291
Burundi,3.377655506,3.590047359,3.79009223,3.983853579,4.17739439,3.207317073,4.588065624,4.817322254,4.8,5.341904163,5.3,5.938580036,6.5,6.583319187,7,7.2520895,7.588477135
Cameroon,41,46.2,44.05050659,45.11754227,47.1,47.25702286,49,48.2,50.56917572,51.71525574,52.8793602,53.7,55.24962616,56.44977951,56.8,58.86510086,60.07476807
Cape Verde,55.90006638,58.14375305,58.6,62.60014725,64.82498169,67,69.29824066,71.55879211,73.84185791,76.14595795,81.1,80.80522156,83.1543808,85.51255035,87.87672424,90.24390411,92.61158752
Central African Republic,6,6.022170544,6.486515999,6.944578171,7.402419567,7.866103649,7.805169325,8.835249901,9.351327896,9.888433456,9.8,11.01371098,11.59587574,12.18705177,12.78423595,13.38442326,13.98511219
Chad,2.902383566,3.222131252,3.529532194,3.830649137,3.5,4.438284397,4.756928444,5.093541145,5.452673912,5.832834721,6.4,6.64422226,7.069441795,7.503673077,7.943912029,7.7,8.830898285
Comoros,39.59965897,41.93915939,44.8,46.58718109,48.9078331,51.23432159,53.57271957,55.92908478,58.30796814,60.70788193,63.12582016,65.55877686,69.3,70.45773315,72.91772461,75.38071442,77.84421539
Dem. Rep. Congo,6.7,7.271540165,7.86341238,8.449001312,9.034368515,6,10.22869492,15.2,11.49338341,12.15801525,12.84067059,13.53834534,15.4,14.9667387,13.5,16.41916466,17.14737892
Congo,20.10331917,22.33146286,24.54726028,26.75677299,28.96606445,33.8,33.40824127,35.65324783,37.92077637,37.1,42.51591492,44.83751297,41.6,49.5137558,51.86239243,60.4,56.56616974
Cote d'Ivoire,48.50034714,49.49349976,51.4,51.44882965,52.42313004,58.9,60.17105263,55.4053421,56.43788147,57.49144363,58.56303406,59.64964294,55.8,61.85590363,61.9,64.0861969,64.3
Djibouti,56.84339905,56.47632217,49.7,55.71118546,55.32525635,54.94516754,55.5,54.22677231,53.89907837,53.59241486,53.30377197,53.03014755,54.6,52.51594543,52.26935959,52.02577591,51.78269196
Egypt,97.7,97.44282532,97.66513062,98.8,98.10134888,99.4,99.04,98.81959534,99.8,99.3794632,99.64969635,99.8531723,99.7,99.9950943,99.8,100,100
Equatorial Guinea,62.41200638,62.70355225,62.98274994,63.25566483,63.52836227,63.80689621,64.09733582,64.40574646,64.73667908,65.08863831,65.45861816,66.1,66.24063873,66.64666748,67.05870819,67.47374725,67.88928986
Eritrea,29.17753792,30.22068596,32.2,32.27600479,33.30030441,34.33044434,35.37248611,36.43249893,37.51503372,38.61859512,39.74018097,40.87678528,42.02540588,43.1830368,44.34667587,45.51332092,46.68046188
Ethiopia,12.7,10.81223297,12.36544323,13.91236973,15.45907593,14,18.57607841,20.15850067,21.76344299,23.38941193,25.0334053,23,28.36344719,30.04348755,27.2,33.41859055,42.9
Gabon,73.6,76.12239838,77.07408905,78.0194931,78.96468353,81.6,80.87863922,81.85954285,82.86296082,83.88741302,84.92988586,85.98738098,89.3,86.4,89.21994019,90.30747223,91.39550018
Gambia,34.3,29.74814606,30.88222504,32.01002121,33.13759613,30.4562675,35.41633606,36.57962418,37.76543808,38.97227478,40.19713593,41.43701935,42.68891525,44.5,45.21674347,46.48666382,47.75708771
Ghana,44.67551041,46.69892502,48.70999146,48.3,52.71933746,54.72974396,55.09345008,58.7923317,60.5,62.93895721,65.04080963,64.06256,69.28656006,70.7,78.3,75.71527863,79.3
Guinea,16.51034546,17.42796135,18.33323097,19.23221779,20.13098335,20.2,21.95210457,22.88658714,23.84358788,24.82161713,25.81767082,26.82874298,26.2,28.88393211,29.92204094,30.96315193,33.5
Guinea-Bissau,5.409247398,5.936371803,6.451149464,6.959643364,7.467916489,7.982031822,14.5361991,9.052042007,9.618552208,4.7,6,11.43223,12.06482601,12.70643425,17.2,14.00467014,14.65579033
Kenya,15.9132328,17.08220673,18.23883247,16,20.5392971,21.69526291,22.86313248,24.04897118,25.25732994,23,19.2,28.99655342,30.27099991,31.55445671,36,41.6,56
Lesotho,4.258760108,3.629649639,5.303376675,6.97081995,6.8,10.31110764,9.7,13.69901657,15.42447567,17,18.93547249,20.71500206,22.50654793,24.30710411,27.8,27.92323875,29.73330879
Liberia,0.01,0.01,0.01,0.01,0.011186852,0.044350129,0.244776547,3,1.75265646,1.9,5.146131039,4.1,8.599683762,9.8,9.4,13.84009171,19.8
