Entity,Code,Year,"Air pollution death rates (indoor solid fuels) per 100,000- IHME (per 100,000 people)"
Afghanistan,AFG,1990,161.1323562
Afghanistan,AFG,1995,161.7857139
Afghanistan,AFG,2000,158.8649349
Afghanistan,AFG,2005,146.4806264
Afghanistan,AFG,2010,119.2952739
Afghanistan,AFG,2015,100.6437931
Albania,ALB,1990,68.80777073
Albania,ALB,1995,65.47722151
Albania,ALB,2000,57.9188054
Albania,ALB,2005,49.44268731
Albania,ALB,2010,33.24412974
Albania,ALB,2015,25.88810457
Algeria,DZA,1990,5.752755169
Algeria,DZA,1995,3.643571836
Algeria,DZA,2000,2.211572973
Algeria,DZA,2005,0.968098721
Algeria,DZA,2010,0.352195002
Algeria,DZA,2015,0.247115713
American Samoa,ASM,1990,12.24020089
American Samoa,ASM,1995,9.21256069
American Samoa,ASM,2000,7.239331171
American Samoa,ASM,2005,5.650442836
American Samoa,ASM,2010,4.141076715
American Samoa,ASM,2015,3.194411329
Andorra,AND,1990,0
Andorra,AND,1995,0
Andorra,AND,2000,0
Andorra,AND,2005,0
Andorra,AND,2010,0
Andorra,AND,2015,0
Angola,AGO,1990,158.2460478
Angola,AGO,1995,138.5322539
Angola,AGO,2000,121.5069904
Angola,AGO,2005,91.96875617
Angola,AGO,2010,80.23030241
Angola,AGO,2015,66.55260804
Antigua and Barbuda,ATG,1990,6.793802459
Antigua and Barbuda,ATG,1995,5.172382953
Antigua and Barbuda,ATG,2000,3.449655924
Antigua and Barbuda,ATG,2005,2.802688141
Antigua and Barbuda,ATG,2010,2.34345498
Antigua and Barbuda,ATG,2015,2.038544881
Argentina,ARG,1990,8.209164662
Argentina,ARG,1995,6.727996515
Argentina,ARG,2000,5.424343544
Argentina,ARG,2005,3.924051998
Argentina,ARG,2010,2.687670167
Argentina,ARG,2015,1.811827133
Armenia,ARM,1990,68.97822022
Armenia,ARM,1995,82.30728563
Armenia,ARM,2000,44.55349117
Armenia,ARM,2005,13.42694886
Armenia,ARM,2010,5.59038599
Armenia,ARM,2015,5.483964196
Australia,AUS,1990,0
Australia,AUS,1995,0
Australia,AUS,2000,0
Australia,AUS,2005,0
Australia,AUS,2010,0
Australia,AUS,2015,0
Austria,AUT,1990,0
Austria,AUT,1995,0
Austria,AUT,2000,0
Austria,AUT,2005,0
Austria,AUT,2010,0
Austria,AUT,2015,0
Azerbaijan,AZE,1990,83.38531479
Azerbaijan,AZE,1995,72.41820567
Azerbaijan,AZE,2000,44.49060943
Azerbaijan,AZE,2005,24.60389223
Azerbaijan,AZE,2010,17.71900134
Azerbaijan,AZE,2015,13.35360139
Bahamas,BHS,1990,4.250254642
Bahamas,BHS,1995,2.933237738
Bahamas,BHS,2000,2.291392229
Bahamas,BHS,2005,1.733335557
Bahamas,BHS,2010,1.28996744
Bahamas,BHS,2015,1.032076671
Bahrain,BHR,1990,0.629465103
Bahrain,BHR,1995,0.384678015
Bahrain,BHR,2000,0.320523759
Bahrain,BHR,2005,0.196857991
Bahrain,BHR,2010,0.115158264
Bahrain,BHR,2015,0.08738981
Bangladesh,BGD,1990,98.24116714
Bangladesh,BGD,1995,85.00998956
Bangladesh,BGD,2000,80.45900031
Bangladesh,BGD,2005,79.32915469
Bangladesh,BGD,2010,79.24707606
Bangladesh,BGD,2015,76.22127887
Barbados,BRB,1990,1.30433009
Barbados,BRB,1995,0.932874082
Barbados,BRB,2000,0.656750217
Barbados,BRB,2005,0.411144629
Barbados,BRB,2010,0.25906113
Barbados,BRB,2015,0.191108211
Belarus,BLR,1990,47.14595561
Belarus,BLR,1995,39.91809208
Belarus,BLR,2000,24.54150526
Belarus,BLR,2005,11.72905322
Belarus,BLR,2010,4.412837006
Belarus,BLR,2015,2.747910366
Belgium,BEL,1990,0
Belgium,BEL,1995,0
Belgium,BEL,2000,0
Belgium,BEL,2005,0
Belgium,BEL,2010,0
Belgium,BEL,2015,0
Belize,BLZ,1990,27.39463816
Belize,BLZ,1995,24.02155515
Belize,BLZ,2000,17.17987179
Belize,BLZ,2005,12.34223455
Belize,BLZ,2010,11.64571368
Belize,BLZ,2015,9.504158515
Benin,BEN,1990,133.251131
Benin,BEN,1995,123.0778755
Benin,BEN,2000,110.0321882
Benin,BEN,2005,91.17943118
Benin,BEN,2010,83.20569759
Benin,BEN,2015,78.79600744
Bermuda,BMU,1990,6.808773469
Bermuda,BMU,1995,5.02426301
Bermuda,BMU,2000,3.951291728
